,recall,precision,accuracy
RandomForest,0.9840339748414149,0.9810892654559747,0.987141137476708
LogReg,0.7046995557633855,0.5653925518325637,0.7520703131441386
NaiveBayes,0.6846717616143109,0.5073740252083575,0.7318503372194647
RandomForestGrid,0.8140855304131202,0.700590457984582,0.8303876787098263
